,date_&_time,country,region,category,website,distance,climb,venue,grid_reference,skills,minimum_age,age_info,entry_on_day,pre-entry,pre-entry_fee_(members),pre-entry_fee_(non-members),race_organiser,teams_allowed,male_record,female_record,junior_races,permit_/_insurance,race_url,title,pre-entry_fee,entry_on_day_fee_(members),entry_on_day_fee_(non-members),start_time_info,entry_on_day_fee,date,postcode,latitude,longitude,datetime,month
39,Sun 20 Mar 2022 at 11:30,England,South/West Pennines,BL,http://www.heptonstallfellrace.wordpress.com,24.8 km / 15.4 miles,966 m / 3169 ft,"St Thomas Heptonstall Church, Church Street, Heptonstall, HX7 7NT  /  Parking; HX7 7EU",SD987282,"ER, PM, LK, NS",18,,No,Yes,,,Stephen Grimley,No,B Mounsey - 01:47:15 - 2015,V Wilkinson - 02:03:59 - 2016,No,Yes,https://races.fellrunner.org.uk/races/f7a3d5a2-8338-4e8c-94b2-60fb68172f8c,Sun 20 Mar 2022 — Heptonstall,£11.00,,,,,,HX7 7NT,53.748972,-2.022224,2022-03-20 11:30:00,March
40,Sat 2 Jul 2022 at 10:30,England,South/West Pennines,AS,http://www.heptonstallfestivalrace.wordpress.com,9.5 km / 5.9 miles,500 m / 1640 ft,"St Thomas Heptonstall Church, Church Street, Heptonstall, HX7 7NT  /  Parking; HX7 7EU",SD987282,"PM, LK",16,,Yes,No,,,Stephen Grimley,Yes,K Gray - 00:49:37 - 2014,K Walshaw - 00:53:58 - 2015,No,Yes,https://races.fellrunner.org.uk/races/71b8d1b9-6fdf-4a1e-9250-30690432d360,Sat 2 Jul 2022 — Heptonstall Festival,,,,,£5.00,,HX7 7NT,53.748972,-2.022224,2022-07-02 10:30:00,July
41,Sat 2 Jul 2022 at 10:30,England,South/West Pennines,AS,http://www.heptonstallfestivalrace.wordpress.com,9.5 km / 5.9 miles,500 m / 1640 ft,"St Thomas Heptonstall Church, Church Street, Heptonstall, HX7 7NT  /  Parking; HX7 7EU",SD987282,"PM, LK",16,,Yes,No,,,Stephen Grimley,Yes,K Gray - 00:49:37 - 2014,K Walshaw - 00:53:58 - 2015,No,Yes,https://races.fellrunner.org.uk/races/71b8d1b9-6fdf-4a1e-9250-30690432d360,Sat 2 Jul 2022 — Heptonstall Festival,,,,,£5.00,,HX7 7NT,53.748972,-2.022224,2022-07-02 10:30:00,July
42,,England,South/West Pennines,BS,http://rpmrt.org.uk,9.2 km / 5.7 miles,350 m / 1148 ft,"Barley Village Hall, BB12 9JT",SD 823 403,"PM, LK, NS",18,,Yes,No,,,paul wilson,No,,,No,Yes,https://races.fellrunner.org.uk/races/139cb607-b218-4006-a2cb-56a2cad282cc,Wed 23 Mar 2022 — Pendle Mountain Rescue Dark Dash,,,,,£10.00,Wed 23 Mar 2022,BB12 9JT,53.857757,-2.269657,,
43,Sat 26 Mar 2022 at 13:00,Wales,North Wales,AM,http://www.run-meirionnydd.co.uk/ourraces.html,16.1 km / 10 miles,945 m / 3100 ft,"Village Hall, Llanuwchllyn, nr Bala,, LL23 7NA",SH872261,"ER, PM, LK, NS",18,Age on race day,No,Yes,,,Nicholas Bradley,Yes,Tim Davies - 01:23:26 - 2009,Hannah Horsburgh - 01:36:01 - 2020,Yes,No,https://races.fellrunner.org.uk/races/b5c6905e-950c-4fbb-b30f-fca71f602f39,Sat 26 Mar 2022 — Yr Aran,£7.00,,,,,,LL23 7NA,52.855523,-3.670135,2022-03-26 13:00:00,March
44,Sun 27 Mar 2022 at 10:30,England,Peak District,AL,http://www.dpfr.org.uk,34 km / 21.1 miles,1373 m / 4505 ft,"Edale Village Hall., S33 7ZA",SK123862,"ER, PM, LK, NS",18,,No,Yes,£16.00,£18.50,SIMON RIPPON,Yes,C.Bell - 02:34:11 - 1999,S. Newman - 03:09:44 - 2000,No,Yes,https://races.fellrunner.org.uk/races/6e6bed60-a8a2-4f81-afbd-761d6a6252d2,Sun 27 Mar 2022 — Don Morrison Memorial Edale Skyline,,,,,,,S33 7ZA,53.367388,-1.816691,2022-03-27 10:30:00,March
45,Sun 27 Mar 2022 at 11:00,England,Midlands,BM,http://www.mowcoprunner.com,10.5 km / 6.5 miles,400 m / 1312 ft,"Mount Pleasant/ Mow Cop Village Hall, Mount Pleasant Rd, ST7 3LG., ST73LG",847569,"PM, LK",18,,Yes,No,,,Geoff Pettengell,Yes,M Lockyer - 00:43:37 - 2012,O Walwyn - 00:48:49 - 2015,No,Yes,https://races.fellrunner.org.uk/races/906341be-44eb-4f89-8ab4-92ae79f5603c,Sun 27 Mar 2022 — Mow Cop,,,,,£5.00,,ST7 3LG,53.111746,-2.229333,2022-03-27 11:00:00,March
46,Tue 29 Mar 2022 at 18:45,England,South/West Pennines,BS,http://www.rossendaleharriers.co.uk,7 km / 4.3 miles,250 m / 820 ft,"Marl Pits Sports Centre, Newchurch Road, Rawtenstall, BB4 7SW",SD820230,"PM, LK",14,,Yes,No,,,Marcel Ellison,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/5a90308e-b71b-4a69-ac9b-d62df9245d81,Tue 29 Mar 2022 — Pete Hartley Memorial Liver Hill,,,,,£0.00,,BB4 7SW,53.703896,-2.275609,2022-03-29 18:45:00,March
47,Sat 2 Apr 2022 at 10:00,England,South/West Pennines,BL,http://craggrunner.com,30 km / 18.6 miles,900 m / 2953 ft,"White Lion Pub, Delph, near Oldham, OL3 5HX",,"ER, PM, LK, NS",18,,No,Yes,,,Darren Graham,Yes,,,No,Yes,https://races.fellrunner.org.uk/races/c8e499ff-0359-4ff7-a439-fa3e3236af9c,Sat 2 Apr 2022 — Five Trigs,£11.20,,,Normal start 10:00; early start 9:00 available,,,OL3 5HX,53.570386,-2.021102,2022-04-02 10:00:00,April
48,Sat 2 Apr 2022 at 11:00,England,Lake District,AS,http://www.achille-ratti-climbing-club.co.uk,5.6 km / 3.5 miles,640 m / 2100 ft,"Stickle Barn Pub, Great Langdale, Ambleside, Cumbria., LA22 9JU",,"ER, LK, NS",18,,Yes,Yes,£8.00,£11.00,Tony Shanley,No,C Bell - 00:38:35 - 2015,A Lupton - 00:47:40 - 2011,No,Yes,https://races.fellrunner.org.uk/races/6b52878c-8e9d-4a23-b52a-246650d44e3f,Sat 2 Apr 2022 — Dungeon Ghyll,,£10.00,£13.00,,,,LA22 9JU,54.447293,-3.091854,2022-04-02 11:00:00,April
49,Sat 2 Apr 2022 at 11:00,England,Peak District,BM,https://races.fellrunner.org.uk/races/b2de122b-bae9-4f1c-98bb-a5ebb678ba62,13.4 km / 8.3 miles,433 m / 1421 ft,"Hayfield Primary School, Swallow House Lane, SK22 2HB",SK03118730,,18,,Yes,Yes,,,Elizabeth Land,No,S Vernon - 00:36:17 - 2019,K Davies - 00:46:53 - 2019,No,Yes,https://races.fellrunner.org.uk/races/b2de122b-bae9-4f1c-98bb-a5ebb678ba62,Sat 2 Apr 2022 — Chicken Run,£6.00,,,,£8.00,,SK22 2HB,53.382556,-1.952244,2022-04-02 11:00:00,April
50,Sat 2 Apr 2022 at 11:00,England,Peak District,BM,https://races.fellrunner.org.uk/races/b2de122b-bae9-4f1c-98bb-a5ebb678ba62,13.4 km / 8.3 miles,433 m / 1421 ft,"Hayfield Primary School, Swallow House Lane, SK22 2HB",SK03118730,,18,,Yes,Yes,,,Elizabeth Land,No,S Vernon - 00:36:17 - 2019,K Davies - 00:46:53 - 2019,No,Yes,https://races.fellrunner.org.uk/races/b2de122b-bae9-4f1c-98bb-a5ebb678ba62,Sat 2 Apr 2022 — Chicken Run,£6.00,,,,£8.00,,SK22 2HB,53.382556,-1.952244,2022-04-02 11:00:00,April
51,Sat 2 Apr 2022 at 11:00,England,Peak District,BM,https://races.fellrunner.org.uk/races/b2de122b-bae9-4f1c-98bb-a5ebb678ba62,13.4 km / 8.3 miles,433 m / 1421 ft,"Hayfield Primary School, Swallow House Lane, SK22 2HB",SK03118730,,18,,Yes,Yes,,,Elizabeth Land,No,S Vernon - 00:36:17 - 2019,K Davies - 00:46:53 - 2019,No,Yes,https://races.fellrunner.org.uk/races/b2de122b-bae9-4f1c-98bb-a5ebb678ba62,Sat 2 Apr 2022 — Chicken Run,£6.00,,,,£8.00,,SK22 2HB,53.382556,-1.952244,2022-04-02 11:00:00,April
52,Fri 20 May 2022 at 19:30,England,Peak District,BS,http://www.t42.org.uk/hayfield,4.7 km / 2.9 miles,200 m / 656 ft,"Hayfield Scout Hut, Swallowhouse Lane, Hayfield,  SK22 2HB, SK22 2HB",SK 03464 87204,"PM, LK",12,,Yes,No,,,Mary Edgerton,Yes,A Jones - 00:18:51 - 2007,C Rice - 00:23:10 - 2019,Yes,Yes,https://races.fellrunner.org.uk/races/11d87884-ac86-4fdd-a422-e3a01695ae62,Fri 20 May 2022 — Hayfield May Queen,,,,Start is from May Queen field next to Scout Hut,£5.00,,SK22 2HB,53.382556,-1.952244,2022-05-20 19:30:00,May
53,Fri 20 May 2022 at 19:30,England,Peak District,BS,http://www.t42.org.uk/hayfield,4.7 km / 2.9 miles,200 m / 656 ft,"Hayfield Scout Hut, Swallowhouse Lane, Hayfield,  SK22 2HB, SK22 2HB",SK 03464 87204,"PM, LK",12,,Yes,No,,,Mary Edgerton,Yes,A Jones - 00:18:51 - 2007,C Rice - 00:23:10 - 2019,Yes,Yes,https://races.fellrunner.org.uk/races/11d87884-ac86-4fdd-a422-e3a01695ae62,Fri 20 May 2022 — Hayfield May Queen,,,,Start is from May Queen field next to Scout Hut,£5.00,,SK22 2HB,53.382556,-1.952244,2022-05-20 19:30:00,May
54,Fri 20 May 2022 at 19:30,England,Peak District,BS,http://www.t42.org.uk/hayfield,4.7 km / 2.9 miles,200 m / 656 ft,"Hayfield Scout Hut, Swallowhouse Lane, Hayfield,  SK22 2HB, SK22 2HB",SK 03464 87204,"PM, LK",12,,Yes,No,,,Mary Edgerton,Yes,A Jones - 00:18:51 - 2007,C Rice - 00:23:10 - 2019,Yes,Yes,https://races.fellrunner.org.uk/races/11d87884-ac86-4fdd-a422-e3a01695ae62,Fri 20 May 2022 — Hayfield May Queen,,,,Start is from May Queen field next to Scout Hut,£5.00,,SK22 2HB,53.382556,-1.952244,2022-05-20 19:30:00,May
55,Sat 10 Sep 2022 at 11:00,England,Peak District,AL,http://pennineridgefellrunner.blogspot.com,24.5 km / 15.2 miles,1290 m / 4232 ft,"Scout Hut, Swallow House Lane, Hayfield., SK22 2HB",034871,"ER, LK, NS",18,,Yes,Yes,,,Patrick Barry,Yes,Joe Oldfield - 02:14:40 - 2021,Eleanor Wainwright - 02:51:03 - 2021,No,Yes,https://races.fellrunner.org.uk/races/833d0dcd-69ce-4fa1-b473-0616d66342ea,Sat 10 Sep 2022 — Groovy Kinder Love,£8.00,,,Valley Road Electrical Substation,£9.00,,SK22 2HB,53.382556,-1.952244,2022-09-10 11:00:00,September
56,Sat 10 Sep 2022 at 11:00,England,Peak District,AL,http://pennineridgefellrunner.blogspot.com,24.5 km / 15.2 miles,1290 m / 4232 ft,"Scout Hut, Swallow House Lane, Hayfield., SK22 2HB",034871,"ER, LK, NS",18,,Yes,Yes,,,Patrick Barry,Yes,Joe Oldfield - 02:14:40 - 2021,Eleanor Wainwright - 02:51:03 - 2021,No,Yes,https://races.fellrunner.org.uk/races/833d0dcd-69ce-4fa1-b473-0616d66342ea,Sat 10 Sep 2022 — Groovy Kinder Love,£8.00,,,Valley Road Electrical Substation,£9.00,,SK22 2HB,53.382556,-1.952244,2022-09-10 11:00:00,September
57,Sat 10 Sep 2022 at 11:00,England,Peak District,AL,http://pennineridgefellrunner.blogspot.com,24.5 km / 15.2 miles,1290 m / 4232 ft,"Scout Hut, Swallow House Lane, Hayfield., SK22 2HB",034871,"ER, LK, NS",18,,Yes,Yes,,,Patrick Barry,Yes,Joe Oldfield - 02:14:40 - 2021,Eleanor Wainwright - 02:51:03 - 2021,No,Yes,https://races.fellrunner.org.uk/races/833d0dcd-69ce-4fa1-b473-0616d66342ea,Sat 10 Sep 2022 — Groovy Kinder Love,£8.00,,,Valley Road Electrical Substation,£9.00,,SK22 2HB,53.382556,-1.952244,2022-09-10 11:00:00,September
58,Sun 3 Apr 2022 at 11:00,England,North York Moors,BM,http://www.eskvalleyfellclub.org,11 km / 6.8 miles,290 m / 951 ft,"Nr, Mallyan Spout Hotel, Goathland Village, Whitby,, YO22 5AN",NZ 826 006,"PM, LK, NS",18,,Yes,No,,,David Parke,Yes,H Holmes - 00:45:06 - 2018,K Neesam - 00:53:11 - 2018,No,Yes,https://races.fellrunner.org.uk/races/b8cd39f8-6666-4fe3-831b-607baf9c4d14,Sun 3 Apr 2022 — Heartbeat Hobble,,£6.00,£7.00,,,,YO22 5AN,54.397192,-0.723893,2022-04-03 11:00:00,April
59,Sat 9 Apr 2022 at 11:00,England,Lake District,AL,http://penninefellrunners.co.uk/eskdale.htm,20.2 km / 12.6 miles,1455 m / 4774 ft,"Boot, Eskdale, Cumbria, CA19 1TG.",NY176011,"ER, LK, NS",18,,Yes,No,,,Dave Jones,Yes,M Wainwright (J Helme) - 02:00:32 - 2019,C Williamson (S Richmond) - 02:29:34 - 2019,No,Yes,https://races.fellrunner.org.uk/races/2524bea3-23ef-4f58-9835-1ec6250fbd19,Sat 9 Apr 2022 — Eskdale Elevation,,,,,£7.00,,CA19 1TG,54.398313,-3.269897,2022-04-09 11:00:00,April
60,Sun 10 Apr 2022 at 9:00,Wales,North Wales,AL,http://www.llangollenfellrace.co.uk,28 km / 17.4 miles,900 m / 2953 ft,"Llangollen Leisure Centre, LL20 8TG",SJ 21483 42517,"PM, LK",18,,No,Yes,,,WARREN RENKEL,No,Ben Hague - 01:56:36 - 2019,LIza Bradshaw - 02:23:16 - 2021,No,No,https://races.fellrunner.org.uk/races/d1534811-98c8-4f33-a93f-f1994e84a795,Sun 10 Apr 2022 — Llangollen Fell Race,£15.00,,,,,,LL20 8TG,52.973792,-3.170338,2022-04-10 09:00:00,April
61,Sat 16 Apr 2022 at 13:00,England,Isle of Man,AL,http://www.manxmountainmarathon.com,21.5 km / 13.4 miles,1200 m / 3937 ft,"Railway Car Park
St Johns - next to primary school, IM4 3BP",277815,"ER, PM, LK, NS",18,,No,Yes,,,David Griffin,Yes,L Taggart - 01:49:47 - 2014,J Taggart - 02:09:42 - 2015,No,Yes,https://races.fellrunner.org.uk/races/44a963b1-e93b-4050-b859-a05a91ae52f4,Sat 16 Apr 2022 — Half Manx Marathon,£15.00,,,,,,IM4 3BP,,,2022-04-16 13:00:00,April
62,Sat 16 Apr 2022 at 15:00,England,South/West Pennines,BS,http://www.madbullevents.com,5.2 km / 3.2 miles,213 m / 699 ft,"Registration at Crown Hotel, Horwich from 1pm. Start/finish at Lever Park Avenue., BL6 7QJ",,PM,16,,Yes,Yes,,,Alastair Murray,Yes,J Wild - 00:15:53 - 1981,C Greenwood - 00:19:38 - 1987,Yes,Yes,https://races.fellrunner.org.uk/races/c1d4859f-7c2a-4ff6-a081-9f358bafb2ac,Sat 16 Apr 2022 — Rivington Pike,£6.00,,,,£6.00,,BL6 7QJ,53.601536,-2.553701,2022-04-16 15:00:00,April
63,Wed 20 Apr 2022 at 19:30,England,Peak District,AS,http://glossopdaleharriers.wordpress.com,4.8 km / 3 miles,340 m / 1115 ft,"Reliance Garage, Glossop, SK13 6JR",SK 03321 92856,"ER, PM",14,,Yes,No,,,Kate Bowden,Yes,L Taggart - 00:22:19 - 2007,C Rice - 00:26:25 - 2019,Yes,Yes,https://races.fellrunner.org.uk/races/c375f9d5-2a50-4fd7-a3fa-06f55afb7750,Wed 20 Apr 2022 — Herod Farm,,,,,£5.00,,SK13 6JR,53.43834,-1.957869,2022-04-20 19:30:00,April
64,Thu 21 Apr 2022 at 19:30,England,Peak District,BS,http://www.pfrac.co.uk,4 km / 2.5 miles,150 m / 492 ft,"Langsett Barn, S36 4GY.",SE211005,PM,14,,Yes,No,,,Ian Charlesworth,Yes,M Wainwright - 00:15:37 - 2019,K Walshaw - 00:17:47 - 2019,No,Yes,https://races.fellrunner.org.uk/races/eb4a052b-d9f3-40c7-b36d-9e475d7ac7a8,Thu 21 Apr 2022 — Hartcliff Hill,,£4.50,£5.50,,,,S36 4GY,53.500785,-1.679398,2022-04-21 19:30:00,April
65,Sat 23 Apr 2022 at 10:30,England,Lake District,AL,https://c-f-r.org.uk/pages/race_teenager.html,24.7 km / 15.3 miles,2300 m / 7546 ft,"Stair Village Hall, Newlands valley, CA12 5UF, CA12 5UF",NY233212,"ER, LK, NS",18,,No,Yes,£11.00,£15.00,Les Barker,Yes,C Bell - 02:37:38 - 2017,J Stephen - 03:16:02 - 2017,No,Yes,https://races.fellrunner.org.uk/races/cb52c0ee-ef06-48c4-9c29-003af11fa016,Sat 23 Apr 2022 — Teenager With Altitude,,,,,,,CA12 5UF,54.580739,-3.183384,2022-04-23 10:30:00,April
66,Sat 23 Apr 2022 at 10:30,England,Lake District,AL,https://c-f-r.org.uk/pages/race_teenager.html,24.7 km / 15.3 miles,2300 m / 7546 ft,"Stair Village Hall, Newlands valley, CA12 5UF, CA12 5UF",NY233212,"ER, LK, NS",18,,No,Yes,£11.00,£15.00,Les Barker,Yes,C Bell - 02:37:38 - 2017,J Stephen - 03:16:02 - 2017,No,Yes,https://races.fellrunner.org.uk/races/cb52c0ee-ef06-48c4-9c29-003af11fa016,Sat 23 Apr 2022 — Teenager With Altitude,,,,,,,CA12 5UF,54.580739,-3.183384,2022-04-23 10:30:00,April
67,Sat 23 Apr 2022 at 11:30,England,Lake District,AM,https://c-f-r.org.uk/pages/race_newlands_memorial.html,18.5 km / 11.5 miles,1100 m / 3609 ft,"Stair Village Hall, Newlands, CA12 5UF, CA12 5UF",NY237212,"ER, LK, NS",18,,No,Yes,£11.00,£14.00,Les Barker,Yes,I Holmes - 01:28:27 - 2003,A Mudge - 01:44:02 - 2007,No,Yes,https://races.fellrunner.org.uk/races/6e6078e0-f68a-42ff-ae10-9eb714ce7432,Sat 23 Apr 2022 — Newlands Memorial Race,,,,,,,CA12 5UF,54.580739,-3.183384,2022-04-23 11:30:00,April
68,Sat 23 Apr 2022 at 11:30,England,Lake District,AM,https://c-f-r.org.uk/pages/race_newlands_memorial.html,18.5 km / 11.5 miles,1100 m / 3609 ft,"Stair Village Hall, Newlands, CA12 5UF, CA12 5UF",NY237212,"ER, LK, NS",18,,No,Yes,£11.00,£14.00,Les Barker,Yes,I Holmes - 01:28:27 - 2003,A Mudge - 01:44:02 - 2007,No,Yes,https://races.fellrunner.org.uk/races/6e6078e0-f68a-42ff-ae10-9eb714ce7432,Sat 23 Apr 2022 — Newlands Memorial Race,,,,,,,CA12 5UF,54.580739,-3.183384,2022-04-23 11:30:00,April
69,Sat 23 Apr 2022 at 16:00,England,South West,BM,https://squareandcompassrunners.fullonsport.com/event/square-and-compass-quarterish/profile,11.4 km / 7.1 miles,295 m / 968 ft,"Square and Compass Pub, Worth Matravers, BH19 3LF, BH19 3LF",SY 978 778,PM,18,,Yes,Yes,£13.50,£15.00,Tim Stone,No,,,No,Yes,https://races.fellrunner.org.uk/races/b6fb38ea-ead2-4c3e-9346-c6988998cbab,Sat 23 Apr 2022 — Square & Compass Quarterish,,£15.00,£17.00,,,,BH19 3LF,50.598919,-2.035426,2022-04-23 16:00:00,April
70,Sun 24 Apr 2022 at 10:30,England,North York Moors,AM,http://www.eskvalleyfellclub.org,17 km / 10.6 miles,855 m / 2805 ft,"Lion Inn, nr Castleton, Whitby., YO62 7LQ",678998,"PM, LK, NS",18,,Yes,No,,,Robert Lillie,Yes,C Taylor - 01:19:06 - 2012,S Adkin - 01:30:38 - 2016,No,Yes,https://races.fellrunner.org.uk/races/00cbef44-534a-4f76-92d1-595ef3d3c1f1,Sun 24 Apr 2022 — Blakey Blitz,,£6.00,£7.00,,,,YO62 7LQ,54.3884,-0.956211,2022-04-24 10:30:00,April
71,Sun 24 Apr 2022 at 14:30,England,Lake District,AS,https://blackcombejuniors.wixsite.com/black-combe-juniors,7.2 km / 4.5 miles,600 m / 1969 ft,"Whicham, Silecroft, LA18 5LY",SD 132 825,"ER, PM, LK, NS",16,Age on 31-Dec-2022 for Juniors,Yes,Yes,£8.00,£10.00,Charmian Heaton,Yes,Billy Cartwright - 00:40:15 - 2021,Katherine Maltby - 00:45:54 - 2021,Yes,Yes,https://races.fellrunner.org.uk/races/e3976c76-0ca8-4f15-9428-87e00be6867d,Sun 24 Apr 2022 — Black Combe Dash,,£10.00,£12.00,The Senior and U19 race will start following the Junior races.,,,LA18 5LY,54.254733,-3.281645,2022-04-24 14:30:00,April
72,Tue 26 Apr 2022 at 19:00,England,Bowland/NW Lancs.,BM,http://www.wrayvillage.co.uk,11 km / 6.8 miles,335 m / 1099 ft,"Bridge End Farm Tea Rooms, Wray, nr Lancaster., LA2 8QP",SD605676,PM,18,,Yes,No,,,Peter Edge,Yes,C Bell - 00:39:59 - 2019,K Walshaw - 00:47:04 - 2012,No,Yes,https://races.fellrunner.org.uk/races/26f04f5e-0c1e-4012-8d17-33fe9a43e242,Tue 26 Apr 2022 — Wray Caton Moor,,,,,£5.00,,LA2 8QP,54.101072,-2.60574,2022-04-26 19:00:00,April
73,Tue 26 Apr 2022 at 19:00,England,South/West Pennines,AS,http://WWW.FELLFOX.CO.UK/RACES/ORCHANROCKS,5.4 km / 3.4 miles,280 m / 919 ft,"Staff of Life pub, 550 Burnley Rd, Todmorden, OL14 8JF, OL14 8JF",,"PM, LK",14,,Yes,Yes,£5.00,£6.00,Dan Taylor,Yes,T Ellis - 00:21:32 - 2016,N Jackson - 00:26:09 - 2016,No,Yes,https://races.fellrunner.org.uk/races/0c46eebb-08d0-4dd4-8972-1c2af7987c94,Tue 26 Apr 2022 — Orchan Rocks,,£6.00,£7.00,,,,OL14 8JF,53.727361,-2.128503,2022-04-26 19:00:00,April
74,Wed 27 Apr 2022 at 18:30,England,Peak District,BS,http://www.totleyac.org.uk,8.8 km / 5.5 miles,207 m / 679 ft,"Sheffield Tigers RUFC, S17 3AB",299821,"ER, PM, LK",18,,Yes,Yes,,,Scott Blanks,No,D.Haworth - 00:29:21 - 2021,C. Brock - 00:36:12 - 2021,No,Yes,https://races.fellrunner.org.uk/races/3dbe5e83-74e7-4f6e-b40c-a5da60d9b41c,Wed 27 Apr 2022 — Tiger's Trail,£5.00,,,,£6.00,,S17 3AB,53.333835,-1.557003,2022-04-27 18:30:00,April
75,Wed 27 Apr 2022 at 19:00,England,South/West Pennines,BS,http://www.rossendaleharriers.co.uk,6.6 km / 4.1 miles,300 m / 984 ft,"Cowpe Village Hall, Waterfoot, Rossendale, BB4 7DP",837212,PM,16,,Yes,No,,,Nick Harris,Yes,J Boyle - 00:30:47 - 2018,R Patrick - 00:40:12 - 2018,No,Yes,https://races.fellrunner.org.uk/races/c9b6fd1c-abab-4f26-94a4-bb70d1727703,Wed 27 Apr 2022 — Fo(e) Edge,,,,,£4.00,,BB4 7DP,53.686924,-2.250755,2022-04-27 19:00:00,April
76,Thu 28 Apr 2022 at 19:00,England,Northumberland / Durham,CS,https://www.durhamfellrunners.org/fixtures/cockfield-chase/,7 km / 4.3 miles,160 m / 525 ft,"Top end of Cockfield High Street, County Durham., DL13 5HF",115242,,14,,Yes,Yes,£5.00,£6.00,Andy Blackett,No,Richard Bateson - 00:13:03 - 2021,M McCarthy - 00:16:09 - 2021,No,Yes,https://races.fellrunner.org.uk/races/1b78ad28-12fd-4f15-a699-a4e413adec51,Thu 28 Apr 2022 — Cockfield Chase,,£7.00,£8.00,registration from 1800,,,DL13 5HF,54.612513,-1.821847,2022-04-28 19:00:00,April
77,Sat 30 Apr 2022 at 10:00,England,South/West Pennines,BM,http://www.saddleworth-runners.co.uk,16 km / 9.9 miles,518 m / 1699 ft,"Kiln Green Church, Diggle, Saddleworth., OL3 5JZ",SE 00720794,"PM, LK",18,,No,Yes,£8.00,£10.00,James Sheard,Yes,P. Green - 00:59:23 - 2006,A. Lupton - 01:11:25 - 2006,No,Yes,https://races.fellrunner.org.uk/races/76d915ac-0da9-4f71-b9cf-de84e18858ac,Sat 30 Apr 2022 — The Cake Race,,,,Mass Start,,,OL3 5JZ,53.568608,-1.990494,2022-04-30 10:00:00,April
78,Sat 30 Apr 2022 at 13:00,England,North York Moors,AM,http://www.eskvalleyfellclub.org,15.9 km / 9.9 miles,800 m / 2625 ft,"Guisborough Sea Cadets Hall, 74 Belmangate, TS14 7AQ, TS14 7AQ",616155,"ER, PM, LK, NS",18,,No,Yes,£12.00,£13.00,Robert Lillie,Yes,,,No,Yes,https://races.fellrunner.org.uk/races/38c0b13f-ac43-4f0f-9fec-c00825f65574,Sat 30 Apr 2022 — Guisborough 3 Tops,,,,"Women's start 13;00, men's 13:15",,,TS14 7AQ,54.532357,-1.048912,2022-04-30 13:00:00,April
79,Sun 1 May 2022 at 12:00,England,South/West Pennines,BS,http://www.claytonlemoors.org.uk,9.6 km / 6 miles,338 m / 1109 ft,"Peel Park Hotel, Turkey St, Accrington, BB5 6EW., BB5 6EW",SD 766292,PM,16,,Yes,No,,,Colin Woolford,Yes,R Hope - 00:36:12 - 2004,L Powell-Smith - 00:42:53 - 2017,Yes,Yes,https://races.fellrunner.org.uk/races/3f7d0a99-c55b-45e0-96b4-c70d6d73921d,Sun 1 May 2022 — Great Hameldon Fell Race,,,,,£5.00,,BB5 6EW,53.757542,-2.355619,2022-05-01 12:00:00,May
80,Mon 2 May 2022 at 10:30,England,South/West Pennines,,http://www.juniors.cvfr.co.uk/,,,"Mytholmroyd Community Centre, HX7 5AF
(But please note that race field/start is a c. 15-20 min walk from the MCC. See details on club website nearer the time.), HX7 5AF",SE011259,,,,Yes,No,,,Diane Wright,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/6b158f61-d1ae-4e0a-8fc6-356a664411d9,Mon 2 May 2022 — Coiners Junior,,,,U9 - 10.30am. U11/U13/U15/U17/U19 - 10.50am (may stagger),,,HX7 5AF,53.731159,-1.985896,2022-05-02 10:30:00,May
81,Mon 2 May 2022 at 10:30,England,South/West Pennines,,http://www.juniors.cvfr.co.uk/,,,"Mytholmroyd Community Centre, HX7 5AF
(But please note that race field/start is a c. 15-20 min walk from the MCC. See details on club website nearer the time.), HX7 5AF",SE011259,,,,Yes,No,,,Diane Wright,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/6b158f61-d1ae-4e0a-8fc6-356a664411d9,Mon 2 May 2022 — Coiners Junior,,,,U9 - 10.30am. U11/U13/U15/U17/U19 - 10.50am (may stagger),,,HX7 5AF,53.731159,-1.985896,2022-05-02 10:30:00,May
82,Mon 2 May 2022 at 13:00,England,South/West Pennines,BM,http://www.cvfr.co.uk,10.8 km / 6.7 miles,295 m / 968 ft,"Mytholmroyd Community and Leisure Centre, HX7 5AF",SE011259,,18,,Yes,No,,,Stella Chrisanthou,No,B Mounsey - 00:45:10 - 2007,H Page - 00:49:47 - 2017,Yes,Yes,https://races.fellrunner.org.uk/races/1cdd7088-0bd0-4ff9-9ab3-479e6e24b95d,Mon 2 May 2022 — Coiners,,£6.00,£8.00,Allow 10 minutes to walk to registration,,,HX7 5AF,53.731159,-1.985896,2022-05-02 13:00:00,May
83,Mon 2 May 2022 at 13:00,England,South/West Pennines,BM,http://www.cvfr.co.uk,10.8 km / 6.7 miles,295 m / 968 ft,"Mytholmroyd Community and Leisure Centre, HX7 5AF",SE011259,,18,,Yes,No,,,Stella Chrisanthou,No,B Mounsey - 00:45:10 - 2007,H Page - 00:49:47 - 2017,Yes,Yes,https://races.fellrunner.org.uk/races/1cdd7088-0bd0-4ff9-9ab3-479e6e24b95d,Mon 2 May 2022 — Coiners,,£6.00,£8.00,Allow 10 minutes to walk to registration,,,HX7 5AF,53.731159,-1.985896,2022-05-02 13:00:00,May
