,date_&_time,country,region,category,website,distance,climb,venue,grid_reference,skills,minimum_age,age_info,entry_on_day,pre-entry,pre-entry_fee_(members),pre-entry_fee_(non-members),race_organiser,teams_allowed,male_record,female_record,junior_races,permit_/_insurance,race_url,title,pre-entry_fee,entry_on_day_fee_(members),entry_on_day_fee_(non-members),start_time_info,entry_on_day_fee,date,postcode,latitude,longitude,datetime,month
10,Sat 26 Feb 2022 at 12:00,England,North Pennines,BM,http://www.duftonvillage.info,15 km / 9.3 miles,460 m / 1509 ft,"Dufton Village Hall, CA16 6DB.",688252,"ER, PM, NS",18,,No,Yes,,,Morgan Donnelly,Yes,N Swinton - 00:59:12 - 2019,V Wilkinson - 01:06:47 - 2017,Yes,Yes,https://races.fellrunner.org.uk/races/27d23ff9-d7ab-4f33-8b26-90cb756ba3c5,Sat 26 Feb 2022 — Inov-8 High Cup Nick,£11.50,,,,,,CA16 6DB,54.620316,-2.482926,2022-02-26 12:00:00,February
11,Sat 26 Feb 2022 at 12:00,England,North Pennines,BM,http://www.duftonvillage.info,15 km / 9.3 miles,460 m / 1509 ft,"Dufton Village Hall, CA16 6DB.",688252,"ER, PM, NS",18,,No,Yes,,,Morgan Donnelly,Yes,N Swinton - 00:59:12 - 2019,V Wilkinson - 01:06:47 - 2017,Yes,Yes,https://races.fellrunner.org.uk/races/27d23ff9-d7ab-4f33-8b26-90cb756ba3c5,Sat 26 Feb 2022 — Inov-8 High Cup Nick,£11.50,,,,,,CA16 6DB,54.620316,-2.482926,2022-02-26 12:00:00,February
12,Sat 27 Aug 2022 at 12:30,England,North Pennines,AS,http://www.duftonshow.co.uk,8 km / 5 miles,460 m / 1509 ft,"Dufton Show Field, Dufton, Cumbria, CA16 6DB., CA16 6DB",684255,PM,16,,Yes,No,,,Susanna Foot,Yes,J Heneghen - 00:28:55 - 2008,C Lambert - 00:35:37 - 2013,Yes,Yes,https://races.fellrunner.org.uk/races/c999c73e-c0d2-48ee-8dc7-8d7e6285d5ee,Sat 27 Aug 2022 — Dufton Show,,,,,£0.00,,CA16 6DB,54.620316,-2.482926,2022-08-27 12:30:00,August
13,Sat 27 Aug 2022 at 12:30,England,North Pennines,AS,http://www.duftonshow.co.uk,8 km / 5 miles,460 m / 1509 ft,"Dufton Show Field, Dufton, Cumbria, CA16 6DB., CA16 6DB",684255,PM,16,,Yes,No,,,Susanna Foot,Yes,J Heneghen - 00:28:55 - 2008,C Lambert - 00:35:37 - 2013,Yes,Yes,https://races.fellrunner.org.uk/races/c999c73e-c0d2-48ee-8dc7-8d7e6285d5ee,Sat 27 Aug 2022 — Dufton Show,,,,,£0.00,,CA16 6DB,54.620316,-2.482926,2022-08-27 12:30:00,August
14,Sat 26 Feb 2022 at 13:30,England,Isle of Man,AS,http://manxfellrunners.org,9.5 km / 5.9 miles,489 m / 1604 ft,"Glen Helen Car Park, St Johns. IM4 3NP, IM4 3NP",294842,"ER, LK, NS",16,Also a junior short  race for over 12 juniors running alongside,Yes,Yes,,,Chris Kirk,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/e0460ac0-6ad2-4af0-bbbf-f2d1091d1431,Sat 26 Feb 2022 — Slieau Ruy,£5.00,,,,£5.00,,IM4 3NP,,,2022-02-26 13:30:00,February
15,Sun 27 Feb 2022 at 11:30,England,Peak District,BS,http://www.hoppits.co.uk,5 km / 3.1 miles,210 m / 689 ft,"Lower Hopton Cricket Club, WF14 8HG",SE213185,PM,6,,Yes,Yes,£5.00,£7.00,Nicky Spinks,Yes,Euan Patton - 00:18:56 - 2021,Katie Walshaw - 00:20:59 - 2021,Yes,Yes,https://races.fellrunner.org.uk/races/ab29c338-3ed4-4fa2-811f-6dd2a5f72224,Sun 27 Feb 2022 — Hoppits Hill,,£5.00,£7.00,"11:30 Juniors, 13:00 U19 & Seniors",,,WF14 8HG,53.661489,-1.680072,2022-02-27 11:30:00,February
16,Sat 5 Mar 2022 at 0:00,Wales,North Wales,AS,http://www.wfra.org.uk,6.8 km / 4.2 miles,390 m / 1280 ft,"Dolgarrog Community Centre, LL32 8JU. GR SH769676",SH769676,PM,16,,Yes,No,,,Craig Jones,No,M Roberts - 00:33:16 - 2015,L Jeska - 00:37:58 - 2012,No,No,https://races.fellrunner.org.uk/races/4c9ec43e-9eb8-4f4e-9e58-0afb63e32b54,Sat 5 Mar 2022 — Pipe Dream,,£3.00,£4.00,,,,LL32 8JU,53.18946,-3.843484,2022-03-05 00:00:00,March
17,Sat 5 Mar 2022 at 9:00,England,South/West Pennines,BL,http://craggrunner.com,38.6 km / 24 miles,1220 m / 4003 ft,"Dysart Arms, Huddersfield Rd Mossley, Ashton Under Lyne, OL5 9BT",,"ER, PM, LK, NS",18,,No,Yes,,,Darren Graham,No,Charlie McIntosh - 04:08:00 - 2020,Kirsty Patten - 05:24:00 - 2020,No,Yes,https://races.fellrunner.org.uk/races/e6b24444-ae09-4ff4-b066-d71cc1a7563e,Sat 5 Mar 2022 — Saddleworth Ten Res's,£11.20,,,Normal start 09:00; early start 8:00 available,,,OL5 9BT,53.5261,-2.025062,2022-03-05 09:00:00,March
18,Sat 5 Mar 2022 at 11:00,England,South/West Pennines,BM,http://www.claytonlemoors.org.uk,16.7 km / 10.4 miles,590 m / 1936 ft,"Barley Village Hall
Barley, nr Burnley
Lancashire, BB12 9JU",SD 823403,"ER, PM, LK, NS",18,,Yes,Yes,£5.00,£7.00,Colin Woolford,No,R Hope - 01:06:10 - 2013,L Pickles - 01:24:32 - 2013,No,Yes,https://races.fellrunner.org.uk/races/798f8200-0dbf-4114-9659-52f1fd030825,Sat 5 Mar 2022 — Moorhouse's Stan Bradshaw Pendle Round,,£7.00,£10.00,,,,BB12 9JU,53.857308,-2.271722,2022-03-05 11:00:00,March
19,Sat 5 Mar 2022 at 12:00,England,Lake District,AM,http://blackcombe.fellrace.org.uk,13 km / 8.1 miles,1000 m / 3281 ft,"Silecroft Village Hall., LA18 5LP",SD133821,"ER, PM, LK, NS",18,,Yes,Yes,£6.00,£8.00,William Ross,Yes,I Holmes - 01:05:18 - 1997,V Wilkinson - 01:19:29 - 2016,No,Yes,https://races.fellrunner.org.uk/races/770d8a77-d35b-4f94-aad6-f660d9406770,Sat 5 Mar 2022 — Black Combe,,,,11:00,£10.00,,LA18 5LP,54.226444,-3.333383,2022-03-05 12:00:00,March
